lambda_0,q1_feasible_cefi,mean_cefi,bound_to_reported
0.0001,0.28723699729088964,0.23583455818081006,1.2179597405341682
0.001,0.2814299201727451,0.2222203981739254,1.2664450360334525
0.01,0.23475817977163846,0.18153716849664558,1.2931686756807397
0.1,0.08637365381589573,0.025556651553439842,3.3796936830822863
0.2,0.04751435376525983,0.0033248511986948893,14.290670747584354
0.3,0.03169989064603613,0.0008438874825569247,37.56411998195245
0.5,0.018207732665387867,0.00017609875436458403,103.39501111797587
1.0,0.00825292020900551,0.00013723434358915156,60.137426194953626
2.0,0.0033910618943485096,0.00011726386275807312,28.91821755304619
3.0,0.0019195094651514543,0.00012271780903012485,15.641653646865972
5.0,0.0008936480892512721,0.00011640005198941219,7.677385653853134
10.0,0.00029220048601073464,8.58795018197064e-05,3.4024473805655524
