alpha,frob_norm,ce_opt,q_opt,ce_fixed,q_fixed,attn_fixed,ce_adaptive,q_adaptive,attn_adaptive,ce_norm_q1,attn_norm_q1,grad_norm_W0
0.004999999999999999,0.01676279747865328,7.816690318932714e-06,1,9.443123667729859e-07,1,0.12080718670481008,7.816679624842607e-06,1,0.9999986318902667,2.7476733333395117e-06,0.3515136485175067,6.808574281988026e-06
0.006993313851964011,0.023445500761026677,1.5291234894151784e-05,1,1.84823101548351e-06,1,0.12086865634314309,1.5291230201971797e-05,1,0.999999693145778,5.375121156720146e-06,0.3515164860083269,1.3319252736515046e-05
0.009781287726414333,0.03279234904766409,2.9912734451351686e-05,1,3.619109334124152e-06,1,0.12098891661041751,2.991272931565854e-05,1,0.99999982831081,1.051498533641702e-05,0.3515220366602717,2.6055612839861032e-05
0.013680722989435786,0.04586543776669364,5.851372473738292e-05,1,7.093280303599662e-06,1,0.12122421424093596,5.851371814744244e-05,1,0.9999998873778672,2.0569499018669356e-05,0.3515328943933735,5.097043368709829e-05
0.019134717917380736,0.06415028025204231,0.00011445533599960726,1,1.3927458714571431e-05,1,0.12168466059650745,0.00011445532187702555,1,0.9999998766105435,4.023724629332837e-05,0.3515541319407462,9.970725628847684e-05
0.026763017573008533,0.08972460869879617,0.00022385599185477444,1,2.7441601711527538e-05,1,0.12258596021557534,0.0002238559772530772,1,0.999999934771917,7.870679669568523e-05,0.35159566667639575,0.00019503761650096143
0.03743243630273535,0.12549446977506834,0.0004377359469558161,1,5.443299894433137e-05,1,0.12435121977730948,0.00043773591944907636,1,0.9999999371613414,0.0001539416102536106,0.3516768758064758,0.0003814846737647083
0.05235535506173591,0.1755244427645728,0.0008556210153995647,1,0.00010935898825116942,1,0.12781241493945786,0.0008556209782108255,1,0.9999999565359678,0.0003010379123627411,0.3518355754996972,0.000746056068317972
0.07322748595554633,0.2454995033887501,0.00167113147079295,1,0.00022495592408421105,1,0.1346129421986588,0.0016711313968354948,1,0.9999999557440833,0.0005884812574662877,0.35214539834322794,0.0014586129214113964
0.1024205583754844,0.34337101553976623,0.0032589503644882365,1,0.00048240426537436015,1,0.14802442854943992,0.003258950280881521,1,0.9999999743455082,0.001149591728837389,0.3527490757036777,0.002850118434256425
0.14325182192263267,0.4802602558674391,0.006336680302467354,1,0.0011065951102432587,1,0.1746332554937917,0.00633668016240276,1,0.999999977896219,0.002242683424699309,0.3539208730202249,0.005562964278735106
0.20036099011412567,0.6717221399811082,0.012251263277212498,1,0.0027906433585414307,1,0.22778413094199534,0.012251263028589504,1,0.9999999797063381,0.004363641245340061,0.3561788810347818,0.010834686742184343
0.2802374575116679,0.9395127492401585,0.023433790054558014,1,0.007809187831473831,1,0.33324476379162987,0.023433789767201514,1,0.999999987737515,0.008447171282634574,0.3604697005037624,0.02101447667933157
0.3919576986911045,1.3140615046715978,0.04395124338632816,1,0.023083279428302392,1,0.5252019658557117,0.04395124299638556,1,0.9999999911278369,0.01619224830452777,0.36841388449921914,0.040434393059272745
0.5482166407280872,1.8379289045905103,0.0796697774175027,1,0.06149826196758455,1,0.771914569878966,0.07966977670883442,1,0.9999999911049297,0.030469825050417343,0.3824514896124639,0.07663722070098772
0.7667702054961811,2.5706427334795685,0.13680715876172056,1,0.12674599282158358,1,0.9264573138481687,0.13680715784783876,1,0.9999999933199271,0.05546059685520863,0.40539250545949373,0.1413146421750139
1.072452939873947,3.59546228729866,0.21783084588339674,1,0.21239377705264126,1,0.9750399498808084,0.21783084484776663,1,0.9999999952457141,0.095567623203972,0.4387240145738067,0.24853379541844278
1.5,5.028839243595985,0.31704317914196656,1,0.3132976297420579,1,0.9881859959578835,0.3170431780342172,1,0.9999999965059985,0.15226924027493804,0.48027918685093196,0.405998728775877
