lambda_0,frob_norm,ce_fixed,ce_adaptive,ce_svd,ratio_adapt_fixed,q_fixed,q_adaptive,q_svd
0.0001,2.24711910173697,1.3766272468750906,1.3766272651436307,1.3777572830380513,1.0000000132705058,1,1,1
0.01,1.9965298188371707,1.1617637044162628,1.1617637515279882,1.1630525243384422,1.0000000405518998,1,1,1
0.1,1.3949810481731928,0.5708873956987337,0.5710003761118523,0.5949046410265766,1.0001979031486241,1,1,1
0.5,0.9428262738019634,0.2754928358374537,0.27601932611257923,0.3042689721916517,1.0019110851776782,1,1,1
2.0,0.5500052594314496,0.07243763579891799,0.07900350283360506,0.09169476966940068,1.0906416528130969,1,1,1
5.0,0.321227637585335,0.018669585997256887,0.021468734407568062,0.024600325183321742,1.1499309310191694,1,1,1
