T,frob_norm,ce_svd,ce_fixed,ce_adaptive,attn_fixed,attn_adaptive,q_svd,q_fixed,q_adaptive
60,2.3209631708526226,0.3481890193161069,0.1673422997267089,0.17557624616940182,0.48060763103728293,0.5042555520971302,1,1,1
120,1.9296371953016493,0.16452865425953878,0.10493066177518717,0.11180666143229318,0.6377652710248414,0.6795573812688074,1,2,1
250,1.850675661042592,0.09795219721917237,0.050948194753109605,0.07163291580179348,0.5201332507030013,0.7313048388441116,1,2,2
500,1.8207651397887121,0.08453302476907865,0.041006900659256995,0.05353334552833405,0.48509917598804436,0.633283212975907,1,4,2
1000,1.7946958699814342,0.06179198801656005,0.036571147646153185,0.05054689790856309,0.5918428718679878,0.8180170201841813,1,2,2
2500,1.7342530847908824,0.05201956662755365,0.02984070664725194,0.045044073245550514,0.5736438917475709,0.8659063534314727,1,2,2
5000,1.7246789558827789,0.047616652011138,0.037413433435761034,0.04573718713912772,0.7857216300509675,0.960529252002626,1,2,2
