g,frob_norm,ce_svd,ce_fixed,ce_adaptive,attn_fixed,attn_adaptive,q_svd,q_fixed,q_adaptive
0.02,0.6755780683950399,0.0032523441413118657,0.0005540040607334498,0.0031180532943024756,0.17033992611556376,0.9587095211408893,1,2,1
0.05,0.700025564249144,0.008861436386242337,0.0010599810271753364,0.007970660076102205,0.11961729238625363,0.8994772098659884,1,2,1
0.1,0.7811166125549562,0.02026292276812112,0.0012351298894133032,0.016635877563331132,0.06095516937746442,0.8210008868761874,1,2,2
0.2,1.0443048643175603,0.050475348694803794,0.004221506252380065,0.037285620964852814,0.08363500919835447,0.7386897154549266,1,1,2
0.35,1.5529822083701688,0.10975485545784933,0.03589384844158634,0.07375293496489753,0.3270365424094714,0.6719787899791084,1,2,2
0.5,2.1103504591022877,0.17686289420035803,0.08638527406962437,0.1135430708208465,0.4884307387380156,0.6419835620931316,1,2,2
0.7,2.880453949997664,0.265493510084459,0.15048966631517824,0.16689446345017944,0.5668299246460087,0.6286197481704425,1,2,2
0.85,3.467036700710573,0.32638080793456026,0.19506000596469678,0.20492017240222624,0.5976454534783998,0.6278560730915066,1,2,2
